tweet_id,created_at,text,lang,author_id,username,name,user_location,user_verified,user_followers,user_tweet_count,place_id,place_full_name,place_country,place_country_code,place_type,retweet_count,reply_count,like_count,quote_count,n_hashtags,n_mentions,n_urls,query_labels,clean_text,clean_len,n_words,hashtag_ratio,mention_ratio,is_metaphor,is_soft_politics,is_emotional,is_brand_account,likely_us,has_strong_fraud,has_money,is_recovery_scammer,is_news_or_promo,is_institutional_metaphor,semantically_relevant,bertopic_id,bertopic_keywords,predicted_label,confidence_score,predicted_category,is_relevant
2006512566550647129,2025-12-31T23:47:29.000Z,"⚠️ SCAM WARNING: #Xdcbit runs a Ponzi scheme without a license.
🚫 Stop all transactions and warn others.
📩 Contact trusted #CryptoRecovery experts for safe help.
#CryptoScam #FundsRecovery #RecoverCrypto #ScamAlert #CryptoSafety https://t.co/vRuaUYXnfD",en,1745719102642008064,Joveira132,BRYAN MORGAN | CRYPTOSCAM INVESTIGATOR ANALYSIS🛠️,United States,False,40,8233,,,,,,0,0,0,0,7,0,1,crypto,⚠️ SCAM WARNING: #Xdcbit runs a Ponzi scheme without a license. 🚫 Stop all transactions and warn others. 📩 Contact trusted #CryptoRecovery experts for safe help. #CryptoScam #FundsRecovery #RecoverCrypto #ScamAlert #CryptoSafety,228,31,0.2258064516129032,0.0,False,False,False,False,True,True,False,False,False,False,True,0,"crypto, scam, to, romance, money, and, in, for",Ponzi or pyramid scheme,0.5009521842002869,ponzi_pyramid,True
2006508523199541553,2025-12-31T23:31:25.000Z,"1️⃣  THREAD: The Truth About Crypto Wallets &amp; Email Addresses – Why Scammers Know Yours (Even If Your Wallet Doesn't)
1/15
Crypto fam, there's a common myth/misunderstanding: ""If I get a scam email about my wallet, the wallet company must have leaked my email.""  Nope. Most popular",en,2005504380414611456,TonyTwoSats,Tony Two-Sats,USA,False,174,2055,,,,,,0,0,0,0,0,0,0,phishing,"1️⃣ THREAD: The Truth About Crypto Wallets &amp; Email Addresses – Why Scammers Know Yours (Even If Your Wallet Doesn't) 1/15 Crypto fam, there's a common myth/misunderstanding: ""If I get a scam email about my wallet, the wallet company must have leaked my email."" Nope. Most popular",283,47,0.0,0.0,False,False,False,False,True,True,True,False,False,False,True,-1,outliers,phishing or identity theft,0.20994222164154053,phishing_identity,True
2006500737962975692,2025-12-31T23:00:29.000Z,SDWC Financial LLC and one of its senior analysts are free of a federal lawsuit alleging they solicited investments in a $300 million real estate Ponzi scheme. https://t.co/JQbuY7pEoV,en,34613951,BLaw,Bloomberg Law,"Arlington, VA",True,155618,146246,,,,,,0,0,0,0,0,0,1,crypto,SDWC Financial LLC and one of its senior analysts are free of a federal lawsuit alleging they solicited investments in a $300 million real estate Ponzi scheme.,159,27,0.0,0.0,False,False,False,False,True,True,True,False,False,False,True,1,"ponzi, scheme, the, is, to, and, of, it",Ponzi or pyramid scheme,0.5403146147727966,ponzi_pyramid,True
2006495568714178852,2025-12-31T22:39:57.000Z,"The party is over for $CV. This is a textbook ""Sell the News"" rug pull. 🛑

We hit $15.00 on hype, and now the FDA submission is out, everyone is rushing for the exit. Momentum is dead.

Why I’m shorting the rip:

Valuation Reality: They posted a $17.9M Net Loss. The company is https://t.co/7lwJmfns7P",en,1402061790,Justin_Leavy,Macro Veteran,"Boston, MA",False,402,298,,,,,,0,0,1,0,0,0,1,crypto,"The party is over for $CV. This is a textbook ""Sell the News"" rug pull. 🛑 We hit $15.00 on hype, and now the FDA submission is out, everyone is rushing for the exit. Momentum is dead. Why I’m shorting the rip: Valuation Reality: They posted a $17.9M Net Loss. The company is",274,53,0.0,0.0,False,False,False,False,True,True,True,False,False,False,True,4,"rug, pull, the, this, is, be, to, will",romance scam,0.3226430416107178,romance,True
2006492072082289024,2025-12-31T22:26:03.000Z,"Pick the scandal Diego Pavia will be a key piece of in 8 years:

- Real estate scam
- Bank robbery
- Crypto scam
- Human Trafficking 
- Tax Fraud",en,168335361,FivePointsVids,fivepointsvids,America,False,41572,55548,,,,,,61,58,3314,14,0,0,0,crypto,Pick the scandal Diego Pavia will be a key piece of in 8 years: - Real estate scam - Bank robbery - Crypto scam - Human Trafficking - Tax Fraud,143,30,0.0,0.0,False,False,False,False,True,True,True,False,False,False,True,0,"crypto, scam, to, romance, money, and, in, for",tax fraud or tax evasion,0.6116849184036255,tax,True
2006491863570878538,2025-12-31T22:25:13.000Z,I need to learn a damn Ponzi scheme or something damn!,en,175303332,damedoesit,Dame,"Texas, USA",False,97,2838,,,,,,0,0,0,0,0,0,0,crypto,I need to learn a damn Ponzi scheme or something damn!,54,11,0.0,0.0,False,False,False,False,True,True,False,False,False,False,True,1,"ponzi, scheme, the, is, to, and, of, it",Ponzi or pyramid scheme,0.47040408849716187,ponzi_pyramid,True
2006489401338245200,2025-12-31T22:15:26.000Z,"Someone who served 11 years in prison for running a Ponzi scheme would feel solidarity with Russia. Famously, much of the anti-Ukraine propaganda was run by former ringleaders of the MMM Global Ponzi scheme. Its Donetsk representative was installed as head of the DPR by Russia. https://t.co/lL7Q07UhZq",en,36216101,andymikhailovic,Jolani Peterson 🇺🇦🟣,"Los Angeles, CA",False,1566,64270,,,,,,2,1,20,0,0,0,1,crypto,"Someone who served 11 years in prison for running a Ponzi scheme would feel solidarity with Russia. Famously, much of the anti-Ukraine propaganda was run by former ringleaders of the MMM Global Ponzi scheme. Its Donetsk representative was installed as head of the DPR by Russia.",278,46,0.0,0.0,False,False,False,False,True,True,False,False,False,False,True,1,"ponzi, scheme, the, is, to, and, of, it",Ponzi or pyramid scheme,0.8308258652687073,ponzi_pyramid,True
2006486985700159894,2025-12-31T22:05:50.000Z,"I saw @scrubs was retiring to TV…

That is awesome news.

Everyone loves that show.

However, @ABC for the love of God, do not rug pull your audience just to push a woke agenda.

The audience will tune out.

Thanks 

@Disney https://t.co/1lJWJU5qEq",en,1016015837881421824,DavidNMorgan3,a_messianic_trader #53MonthsOfShenanigans🙂🏴‍☠️,"Houston, TX",False,495,41411,,,,,,0,0,0,0,0,3,1,crypto,"I saw was retiring to TV… That is awesome news. Everyone loves that show. However, for the love of God, do not rug pull your audience just to push a woke agenda. The audience will tune out. Thanks",196,38,0.0,0.0789473684210526,False,False,False,False,True,True,False,False,False,False,True,4,"rug, pull, the, this, is, be, to, will",romance scam,0.24998149275779724,romance,True
2006482317196636651,2025-12-31T21:47:17.000Z,"Everyone keep working harder and harder so you can keep being forced to be a willing participant in the biggest ponzi scheme on earth, Bernie Madoff went to prison for less🤡🌏 https://t.co/WfVmK7VPSJ",en,1711417330398273539,TimReynolds1911,Tim Reynolds,"Michigan, USA",False,248,26448,,,,,,0,0,0,0,0,0,1,crypto,"Everyone keep working harder and harder so you can keep being forced to be a willing participant in the biggest ponzi scheme on earth, Bernie Madoff went to prison for less🤡🌏",174,31,0.0,0.0,False,False,False,False,True,True,False,False,False,False,True,1,"ponzi, scheme, the, is, to, and, of, it",Ponzi or pyramid scheme,0.8979403376579285,ponzi_pyramid,True
2006480683393507782,2025-12-31T21:40:48.000Z,"Burna suppose collect that him $150k from VDM back, let those who are the good Nigerians do the work.
Meanwhile Adeleke didn’t make the list despite crypto rug pull and other things https://t.co/crKeIYTU7q https://t.co/IiZXrv6kS2",en,1513666741976526850,DonCorleone707,Don Corleone 🌹,"New York, NY",False,8882,184698,,,,,,7,1,46,1,0,0,2,crypto,"Burna suppose collect that him $150k from VDM back, let those who are the good Nigerians do the work. Meanwhile Adeleke didn’t make the list despite crypto rug pull and other things",181,32,0.0,0.0,False,False,False,False,True,True,True,False,False,False,True,0,"crypto, scam, to, romance, money, and, in, for",investment scam or cryptocurrency fraud,0.33525457978248596,investment_crypto,True
